stdio    D         file_stdio.c:105  file_stdio_fopen                 [   0.00000] opening C:\Users\Public\Project1_old\Debug\allegro5.cfg r
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.08714] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.08715] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.08717] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.08718] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.08720] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.08721] Fake format
d3d      D         d3d_disp.cpp:1196 real_choose_bitmap_format        [   0.08722] Alpha doesn't match
d3d      D         d3d_disp.cpp:1203 real_choose_bitmap_format        [   0.08724] Adapter format is 23
d3d      D         d3d_disp.cpp:1206 real_choose_bitmap_format        [   0.08726] Found a format
d3d      I         d3d_disp.cpp:2380 d3d_create_bitmap                [   0.08727] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.08758] added dtor for object 00846AF8, func 658017D0
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.09819] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.09824] _al_d3d_sync_bitmap (video) ref count == 1
dtor     D               dtor.c:184  _al_register_destructor          [   0.10079] added dtor for object 06319B80, func 658017D0
dtor     D               dtor.c:184  _al_register_destructor          [   0.10084] added dtor for object 06319CE8, func 658017D0
dtor     D               dtor.c:184  _al_register_destructor          [   0.10086] added dtor for object 06319EC0, func 658017D0
dtor     D               dtor.c:184  _al_register_destructor          [   0.10089] added dtor for object 0631A028, func 658017D0
dtor     D               dtor.c:184  _al_register_destructor          [   0.10091] added dtor for object 0631A190, func 658017D0
dtor     D               dtor.c:184  _al_register_destructor          [   0.10094] added dtor for object 0631A2F8, func 658017D0
dtor     D               dtor.c:184  _al_register_destructor          [   0.10096] added dtor for object 0631A510, func 658017D0
dtor     D               dtor.c:184  _al_register_destructor          [   0.10098] added dtor for object 0631A678, func 658017D0
dtor     D               dtor.c:184  _al_register_destructor          [   0.10100] added dtor for object 0631A7E0, func 658017D0
dtor     D               dtor.c:184  _al_register_destructor          [   0.10102] added dtor for object 0631A948, func 658017D0
dtor     D               dtor.c:184  _al_register_destructor          [   0.10104] added dtor for object 0631AAB0, func 658017D0
dtor     D               dtor.c:184  _al_register_destructor          [   0.10105] added dtor for object 0631AC18, func 658017D0
dtor     D               dtor.c:184  _al_register_destructor          [   0.10107] added dtor for object 0631AD80, func 658017D0
dtor     D               dtor.c:184  _al_register_destructor          [   0.10110] added dtor for object 00860778, func 658017D0
dtor     D               dtor.c:184  _al_register_destructor          [   0.10112] added dtor for object 00860A28, func 658017D0
dtor     D               dtor.c:184  _al_register_destructor          [   0.10114] added dtor for object 00860B90, func 658017D0
dtor     D               dtor.c:184  _al_register_destructor          [   0.10116] added dtor for object 00860CF8, func 658017D0
dtor     D               dtor.c:184  _al_register_destructor          [   0.10118] added dtor for object 00860E60, func 658017D0
dtor     D               dtor.c:184  _al_register_destructor          [   0.10120] added dtor for object 00860FC8, func 658017D0
dtor     D               dtor.c:184  _al_register_destructor          [   0.10122] added dtor for object 00861130, func 658017D0
dtor     D               dtor.c:184  _al_register_destructor          [   0.10124] added dtor for object 00861298, func 658017D0
dtor     D               dtor.c:184  _al_register_destructor          [   0.10126] added dtor for object 00861400, func 658017D0
dtor     D               dtor.c:184  _al_register_destructor          [   0.10128] added dtor for object 00861568, func 658017D0
dtor     D               dtor.c:184  _al_register_destructor          [   0.10131] added dtor for object 008616D0, func 658017D0
dtor     D               dtor.c:184  _al_register_destructor          [   0.10134] added dtor for object 00861838, func 658017D0
dtor     D               dtor.c:184  _al_register_destructor          [   0.10136] added dtor for object 008619A0, func 658017D0
dtor     D               dtor.c:184  _al_register_destructor          [   0.10138] added dtor for object 00861B08, func 658017D0
dtor     D               dtor.c:184  _al_register_destructor          [   0.10140] added dtor for object 00861C70, func 658017D0
dtor     D               dtor.c:184  _al_register_destructor          [   0.10142] added dtor for object 00861DD8, func 658017D0
dtor     D               dtor.c:184  _al_register_destructor          [   0.10144] added dtor for object 00861F40, func 658017D0
dtor     D               dtor.c:184  _al_register_destructor          [   0.10146] added dtor for object 008620A8, func 658017D0
dtor     D               dtor.c:184  _al_register_destructor          [   0.10148] added dtor for object 00862210, func 658017D0
dtor     D               dtor.c:184  _al_register_destructor          [   0.10151] added dtor for object 00862378, func 658017D0
dtor     D               dtor.c:184  _al_register_destructor          [   0.10153] added dtor for object 008624E0, func 658017D0
dtor     D               dtor.c:184  _al_register_destructor          [   0.10155] added dtor for object 00862648, func 658017D0
dtor     D               dtor.c:184  _al_register_destructor          [   0.10158] added dtor for object 008627B0, func 658017D0
dtor     D               dtor.c:184  _al_register_destructor          [   0.10161] added dtor for object 00862C58, func 658017D0
dtor     D               dtor.c:184  _al_register_destructor          [   0.10163] added dtor for object 00862DC0, func 658017D0
dtor     D               dtor.c:184  _al_register_destructor          [   0.10165] added dtor for object 00862F28, func 658017D0
dtor     D               dtor.c:184  _al_register_destructor          [   0.10166] added dtor for object 00863090, func 658017D0
dtor     D               dtor.c:184  _al_register_destructor          [   0.10168] added dtor for object 008631F8, func 658017D0
dtor     D               dtor.c:184  _al_register_destructor          [   0.10170] added dtor for object 00863360, func 658017D0
dtor     D               dtor.c:184  _al_register_destructor          [   0.10172] added dtor for object 008634C8, func 658017D0
dtor     D               dtor.c:184  _al_register_destructor          [   0.10174] added dtor for object 00863630, func 658017D0
dtor     D               dtor.c:184  _al_register_destructor          [   0.10176] added dtor for object 00863798, func 658017D0
dtor     D               dtor.c:184  _al_register_destructor          [   0.10178] added dtor for object 00863900, func 658017D0
dtor     D               dtor.c:184  _al_register_destructor          [   0.10180] added dtor for object 00863A68, func 658017D0
dtor     D               dtor.c:184  _al_register_destructor          [   0.10182] added dtor for object 00863BD0, func 658017D0
dtor     D               dtor.c:184  _al_register_destructor          [   0.10184] added dtor for object 00863D38, func 658017D0
dtor     D               dtor.c:184  _al_register_destructor          [   0.10186] added dtor for object 00863EA0, func 658017D0
dtor     D               dtor.c:184  _al_register_destructor          [   0.10188] added dtor for object 00864008, func 658017D0
dtor     D               dtor.c:184  _al_register_destructor          [   0.10190] added dtor for object 00864170, func 658017D0
dtor     D               dtor.c:184  _al_register_destructor          [   0.10192] added dtor for object 008642D8, func 658017D0
dtor     D               dtor.c:184  _al_register_destructor          [   0.10194] added dtor for object 00864440, func 658017D0
dtor     D               dtor.c:184  _al_register_destructor          [   0.10197] added dtor for object 008645A8, func 658017D0
dtor     D               dtor.c:184  _al_register_destructor          [   0.10200] added dtor for object 00864710, func 658017D0
dtor     D               dtor.c:184  _al_register_destructor          [   0.10203] added dtor for object 00864878, func 658017D0
dtor     D               dtor.c:184  _al_register_destructor          [   0.10206] added dtor for object 008649E0, func 658017D0
dtor     D               dtor.c:184  _al_register_destructor          [   0.10209] added dtor for object 00864C58, func 658017D0
dtor     D               dtor.c:184  _al_register_destructor          [   0.10211] added dtor for object 00864DC0, func 658017D0
dtor     D               dtor.c:184  _al_register_destructor          [   0.10213] added dtor for object 00864F28, func 658017D0
dtor     D               dtor.c:184  _al_register_destructor          [   0.10215] added dtor for object 00865090, func 658017D0
dtor     D               dtor.c:184  _al_register_destructor          [   0.10217] added dtor for object 008651F8, func 658017D0
dtor     D               dtor.c:184  _al_register_destructor          [   0.10219] added dtor for object 00865360, func 658017D0
dtor     D               dtor.c:184  _al_register_destructor          [   0.10222] added dtor for object 008654C8, func 658017D0
dtor     D               dtor.c:184  _al_register_destructor          [   0.10224] added dtor for object 00865630, func 658017D0
dtor     D               dtor.c:184  _al_register_destructor          [   0.10233] added dtor for object 00865798, func 658017D0
dtor     D               dtor.c:184  _al_register_destructor          [   0.10235] added dtor for object 00865900, func 658017D0
dtor     D               dtor.c:184  _al_register_destructor          [   0.10237] added dtor for object 00865A68, func 658017D0
dtor     D               dtor.c:184  _al_register_destructor          [   0.10239] added dtor for object 00865BD0, func 658017D0
dtor     D               dtor.c:184  _al_register_destructor          [   0.10241] added dtor for object 00865D38, func 658017D0
dtor     D               dtor.c:184  _al_register_destructor          [   0.10243] added dtor for object 00865EA0, func 658017D0
